No,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）
1,天智天皇,秋の田のかりほの庵の苫をあらみ,わが衣手は露にぬれつつ,あきのたのかりほのいほのとまをあらみ,わがころもではつゆにぬれつつ
2,持統天皇,春過ぎて夏来にけらし白妙の,衣干すてふ天の香具山,はるすぎてなつきにけらししろたへの,ころもほすてふあまのかぐやま
3,柿本人麻呂,あしびきの山鳥の尾のしだり尾の,ながながし夜をひとりかも寝む,あしびきのやまどりのをのしだりをの,ながながしよをひとりかもねむ
4,山辺赤人,田子の浦にうち出でてみれば白妙の,富士の高嶺に雪は降りつつ,たごのうらにうちいでてみればしろたへの,ふじのたかねにゆきはふりつつ
5,猿丸大夫,奥山に紅葉踏み分け鳴く鹿の,声聞く時ぞ秋は悲しき,おくやまにもみぢふみわけなくしかの,こゑきくときぞあきはかなしき
6,中納言家持,かささぎの渡せる橋に置く霜の,白きを見れば夜ぞ更けにける,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける
7,安倍仲麻呂,天の原ふりさけみれば春日なる,三笠の山に出でし月かも,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも
8,喜撰法師,わが庵は都の辰巳しかぞ住む,世をうぢ山と人はいふなり,わがいほはみやこのたつみしかぞすむ,よをうぢやまとひとはいふなり
9,小野小町,花の色は移りにけりないたづらに,わが身世にふるながめせしまに,はなのいろはうつりにけりないたづらに,わがみよにふるながめせしまに
10,蝉丸,これやこの行くも帰るも別れては,知るも知らぬも逢坂の関,これやこのゆくもかへるもわかれては,しるもしらぬもあふさかのせき
11,参議篁,わたの原八十島かけて漕ぎ出でぬと,人にはつげよ海人の釣船,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね
12,僧正遍昭,天つ風雲の通ひ路吹きとぢよ,乙女の姿しばしとどめむ,あまつかぜくものかよひぢふきとぢよ,をとめのすがたしばしとどめむ
13,陽成院,筑波嶺の峰より落つるみなの川,恋ぞつもりて淵となりぬる,つくばねのみねよりおつるみなのがは,こひぞつもりてふちとなりぬる
14,河原左大臣,陸奥のしのぶもぢずりたれゆえに,乱れそめにしわれならなくに,みちのくのしのぶもぢずりたれゆゑに,みだれそめにしわれならなくに
15,光孝天皇,君がため春の野に出でて若菜摘む,わが衣手に雪は降りつつ,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ
16,中納言行平,立ち別れいなばの山の峰に生ふる,まつとし聞かば今帰り来む,たちわかれいなばのやまのみねにおふる,まつとしきかばいまかへりこむ
17,在原業平朝臣,ちはやぶる神代も聞かず竜田川,から紅に水くくるとは,ちはやぶるかみよもきかずたつたがは,からくれなゐにみづくくるとは
18,藤原敏行朝臣,住の江の岸に寄る波よるさへや,夢の通ひ路人目よくらむ,すみのえのきしによるなみよるさへや,ゆめのかよひぢひとめよくらむ
19,伊勢,難波潟短き葦のふしの間も,逢はでこの世を過ぐしてよとや,なにはがたみじかきあしのふしのまも,あはでこのよをすぐしてよとや
20,元良親王,わびぬれば今はた同じ難波なる,身をつくしても逢はむとぞ思ふ,わびぬればいまはたおなじなにはなる,みをつくしてもあはむとぞおもふ
21,素性法師,今来むといひしばかりに長月の,有明の月を待ち出でつるかな,いまこむといひしばかりにながつきの,ありあけのつきをまちいでつるかな
22,文屋康秀,吹くからに秋の草木のしをるれば,むべ山風を嵐といふらむ,ふくからにあきのくさきのしをるれば,むべやまかぜをあらしといふらむ
23,大江千里,月見れば千々にものこそ悲しけれ,わが身ひとつの秋にはあらねど,つきみればちぢにものこそかなしけれ,わがみひとつのあきにはあらねど
24,菅家,このたびは幣もとりあへず手向山,紅葉の錦神のまにまに,このたびはぬさもとりあへずたむけやま,もみぢのにしきかみのまにまに
25,三条右大臣,名にし負はば逢坂山のさねかずら,人に知られでくるよしもがな,なにしおはばあふさかやまのさねかづら,ひとにしられでくるよしもがな
26,貞信公,小倉山峰のもみぢ葉心あらば,今ひとたびのみゆき待たなむ,をぐらやまみねのもみぢばこころあらば,いまひとたびのみゆきまたなむ
27,中納言兼輔,みかの原わきて流るる泉川,いつ見きとてか恋しかるらむ,みかのはらわきてながるるいづみがは,いつみきとてかこひしかるらむ
28,源宗于朝臣,山里は冬ぞ寂しさまさりける,人目も草もかれぬと思へば,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもへば
29,凡河内躬恒,心あてに折らばや折らむ初霜の,置きまどはせる白菊の花,こころあてにをらばやをらむはつしもの,おきまどはせるしらぎくのはな
30,壬生忠岑,有明のつれなく見えし別れより,暁ばかり憂きものはなし,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし
31,坂上是則,朝ぼらけ有明の月と見るまでに,吉野の里に降れる白雪,あさぼらけありあけのつきとみるまでに, よしののさとに ふれるしらゆき
32,春道列樹,山川に風のかけたるしがらみは,流れもあへぬ紅葉なりけり,やまがはにかぜのかけたるしがらみは,ながれもあへぬもみぢなりけり
33,紀友則,ひさかたの光のどけき春の日に,しづ心なく花の散るらむ,ひさかたのひかりのどけきはるのひに,しづこころなくはなのちるらむ
34,藤原興風,誰をかも知る人にせむ高砂の,松も昔の友ならなくに,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに
35,紀貫之,人はいさ心も知らずふるさとは,花ぞ昔の香に匂ひける,ひとはいさこころもしらずふるさとは,はなぞむかしのかににほひける
36,清原深養父,夏の夜はまだ宵ながら明けぬるを,雲のいずこに月宿るらむ,なつのよはまだよひながらあけぬるを,くものいづこにつきやどるらむ
37,文屋朝康,白露に風の吹きしく秋の野は,つらぬきとめぬ玉ぞ散りける,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける
38,右近,忘らるる身をば思はず誓ひてし,人の命の惜しくもあるかな,わすらるるみをばおもはずちかひてし,ひとのいのちのをしくもあるかな
39,参議等,浅茅生の小野の篠原忍ぶれど,あまりてなどか人の恋しき,あさぢふのをののしのはらしのぶれど,あまりてなどかひとのこひしき
40,平兼盛,忍ぶれど色に出でにけりわが恋は,ものや思ふと人の問ふまで,しのぶれどいろにいでにけりわがこひは,ものやおもふとひとのとふまで
41,壬生忠見,恋すてふわが名はまだき立ちにけり,人知れずこそ思ひそめしか,こひすてふわがなはまだきたちにけり,ひとしれずこそおもひそめしか
42,清原元輔,契りきなかたみに袖をしぼりつつ,末の松山波越さじとは,ちぎりきなかたみにそでをしぼりつつ,すゑのまつやまなみこさじとは
43,権中納言敦忠,逢ひ見ての後の心にくらぶれば,昔はものを思はざりけり,あひみてののちのこころにくらぶれば,むかしはものをおもはざりけり
44,中納言朝忠,逢ふことの絶えてしなくはなかなかに,人をも身をも恨みざらまし,あふことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし
45,謙徳公,あはれともいふべき人は思ほえで,身のいたずらになりぬべきかな,あはれともいふべきひとはおもほえで,みのいたづらになりぬべきかな
46,曾禰好忠,由良の戸を渡る舟人かぢをたえ,ゆくへも知らぬ恋の道かな,ゆらのとをわたるふなびとかぢをたえ,ゆくへもしらぬこひのみちかな
47,恵慶法師,八重むぐら茂れる宿のさびしきに,人こそ見えね秋は来にけり,やへむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり
48,源重之,風をいたみ岩うつ波のおのれのみ,くだけてものを思ふころかな,かぜをいたみいはうつなみのおのれのみ,くだけてものをおもふころかな
49,大中臣能宣,御垣守衛士のたく火の夜は燃え,昼は消えつつものをこそ思へ,みかきもりゑじのたくひのよるはもえ,ひるはきえつつものをこそおもへ
50,藤原義孝,君がため惜しからざりし命さへ,長くもがなと思ひけるかな,きみがためをしからざりしいのちさへ,ながくもがなとおもひけるかな
51,藤原実方朝臣,かくとだにえやはいぶきのさしも草,さしも知らじな燃ゆる思ひを,かくとだにえやはいぶきのさしもぐさ,さしもしらじなもゆるおもひを
52,藤原道信朝臣,明けぬれば暮るるものとは知りながら,なほ恨めしき朝ぼらけかな,あけぬればくるるものとはしりながら,なほうらめしきあさぼらけかな
53,右大将道綱母,嘆きつつひとり寝る夜の明くる間は,いかに久しきものとかは知る,なげきつつひとりぬるよのあくるまは,いかにひさしきものとかはしる
54,儀同三司母,忘れじの行く末まではかたければ,今日をかぎりの命ともがな,わすれじのゆくすゑまではかたければ,けふをかぎりのいのちともがな
55,大納言公任,滝の音は絶えて久しくなりぬれど,名こそ流れてなほ聞こえけれ,たきのおとはたえてひさしくなりぬれど,なこそながれてなほきこえけれ
56,和泉式部,あらざらむこの世のほかの思ひ出に,今ひとたびの逢ふこともがな,あらざらむこのよのほかのおもひでに,いまひとたびのあふこともがな
57,紫式部,めぐり逢ひて見しやそれとも分かぬ間に,雲隠れにし夜半の月かな,めぐりあひてみしやそれともわかぬまに,くもがくれにしよはのつきかな
58,大弐三位,有馬山猪名の笹原風吹けば,いでそよ人を忘れやはする,ありまやまゐなのささはらかぜふけば,いでそよひとをわすれやはする
59,赤染衛門,やすらはで寝なましものを小夜更けて,かたぶくまでの月を見しかな,やすらはでねなましものをさよふけて,かたぶくまでのつきをみしかな
60,小式部内侍,大江山いく野の道の遠ければ,まだふみも見ず天の橋立,おほえやまいくののみちのとほければ,まだふみもみずあまのはしだて
61,伊勢大輔,いにしへの奈良の都の八重桜,けふ九重に匂ひぬるかな,いにしへのならのみやこのやへざくら,けふここのへににほひぬるかな
62,清少納言,夜をこめて鳥のそら音ははかるとも,よに逢坂の関はゆるさじ,よをこめてとりのそらねははかるとも,よにあふさかのせきはゆるさじ
63,左京大夫道雅,今はただ思ひ絶えなむとばかりを,人づてならでいふよしもがな,いまはただおもひたえなむとばかりを,ひとづてならでいふよしもがな
64,権中納言定頼,朝ぼらけ宇治の川霧たえだえに,あらはれわたる瀬々の網代木,あさぼらけうぢのかはぎりたえだえに,あらはれわたるせぜのあじろぎ
65,相模,恨みわび干さぬ袖だにあるものを,恋に朽ちなむ名こそ惜しけれ,うらみわびほさぬそでだにあるものを,こひにくちなむなこそをしけれ
66,前大僧正行尊,もろともにあはれと思え山桜,花よりほかに知る人もなし,もろともにあはれとおもへやまざくら,はなよりほかにしるひともなし
67,周防内侍,春の夜の夢ばかりなる手枕に,かひなく立たむ名こそ惜しけれ,はるのよのゆめばかりなるたまくらに,かひなくたたむなこそをしけれ
68,三条院,心にもあらで憂き夜にながらへば,恋しかるべき夜半の月かな,こころにもあらでうきよにながらへば,こひしかるべきよはのつきかな
69,能因法師,嵐ふく三室の山のもみぢ葉は,竜田の川の錦なりけり,あらしふくみむろのやまのもみぢばは,たつたのかはのにしきなりけり
70,良暹法師,寂しさに宿を立ち出でてながむれば,いづこも同じ秋の夕暮れ,さびしさにやどをたちいでてながむれば,いづこもおなじあきのゆふぐれ
71,大納言経信,夕されば門田の稲葉おとづれて,葦のまろやに秋風ぞ吹く,ゆふさればかどたのいなばおとづれて,あしのまろやにあきかぜぞふく
72,祐子内親王家紀伊,音に聞く高師の浜のあだ波は,かけじや袖のぬれもこそすれ,おとにきくたかしのはまのあだなみは,かけじやそでのぬれもこそすれ
73,権中納言匡房,高砂の尾の上の桜咲きにけり,外山の霞立たずもあらなむ,たかさごのをのへのさくらさきにけり,とやまのかすみたたずもあらなむ
74,源俊頼朝臣,憂かりける人を初瀬の山おろしよ,はげしかれとは祈らぬものを,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを
75,藤原基俊,契りおきしさせもが露を命にて,あはれ今年の秋もいぬめり,ちぎりおきしさせもがつゆをいのちにて,あはれことしのあきもいぬめり
76,法性寺入道前関白太政大臣,わたの原漕ぎ出でて見ればひさかたの,雲居にまがふ沖つ白波,わたのはらこぎいでてみればひさかたの,くもゐにまがふおきつしらなみ
77,崇徳院,瀬をはやみ岩にせかるる滝川の,われても末に逢はむとぞ思ふ,せをはやみいはにせかるるたきがはの,われてもすゑにあはむとぞおもふ
78,源兼昌,淡路島通ふ千鳥の鳴く声に,いく夜寝覚めぬ須磨の関守,あはぢしまかよふちどりのなくこゑに,いくよねざめぬすまのせきもり
79,左京大夫顕輔,秋風にたなびく雲のたえ間より,もれ出づる月の影のさやけさ,あきかぜにたなびくくものたえまより,もれいづるつきのかげのさやけさ
80,待賢門院堀河,ながからむ心も知らず黒髪の,乱れてけさはものをこそ思へ,ながからむこころもしらずくろかみの,みだれてけさはものをこそおもへ
81,後徳大寺左大臣,ほととぎす鳴きつる方をながむれば,ただ有明の月ぞ残れる,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる
82,道因法師,思ひわびさても命はあるものを,憂きに堪へぬは涙なりけり,おもひわびさてもいのちはあるものを,うきにたへぬはなみだなりけり
83,皇太后宮大夫俊成,世の中よ道こそなけれ思ひ入る,山の奥にも鹿ぞ鳴くなる,よのなかよみちこそなけれおもひいる,やまのおくにもしかぞなくなる
84,藤原清輔朝臣,ながらへばまたこのごろやしのばれむ,憂しと見し世ぞ今は恋しき,ながらへばまたこのごろやしのばれむ,うしとみしよぞいまはこひしき
85,俊恵法師,夜もすがらもの思ふころは明けやらで,ねやのひまさへつれなかりけり,よもすがらものおもふころはあけやらで,ねやのひまさへつれなかりけり
86,西行法師,嘆けとて月やはものを思はする,かこち顔なるわが涙かな,なげけとてつきやはものをおもはする,かこちがほなるわがなみだかな
87,寂蓮法師,村雨の露もまだ干ぬまきの葉に,霧立ちのぼる秋の夕暮,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆふぐれ
88,皇嘉門院別当,難波江の葦のかりねのひとよゆゑ,身をつくしてや恋ひわたるべき,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるべき
89,式子内親王,玉の緒よ絶えなば絶えねながらへば,忍ぶることの弱りもぞする,たまのをよたえなばたえねながらへば,しのぶることのよわりもぞする
90,殷富門院大輔,見せばやな雄島の海人の袖だにも,濡れにぞ濡れし色は変はらず,みせばやなをじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず
91,後京極摂政前太政大臣,きりぎりす鳴くや霜夜のさむしろに,衣かたしきひとりかも寝む,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ
92,二条院讃岐,わが袖は潮干に見えぬ沖の石の,人こそ知らねかわく間もなし,わがそではしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし
93,鎌倉右大臣,世の中は常にもがもな渚漕ぐ,海人の小舟の綱手かなしも,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも
94,参議雅経,み吉野の山の秋風小夜更けて,ふるさと寒く衣うつなり,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり
95,前大僧正慈円,おほけなく憂き世の民におほふかな,わが立つ杣にすみ染の袖,おほけなくうきよのたみにおほふかな,わがたつそまにすみぞめのそで
96,入道前太政大臣,花さそふ嵐の庭の雪ならで,ふりゆくものはわが身なりけり,はなさそふあらしのにはのゆきならで,ふりゆくものはわがみなりけり
97,権中納言定家,来ぬ人を松帆の浦の夕なぎに,焼くや藻塩の身もこがれつつ,こぬひとをまつほのうらのゆふなぎに,やくやもしほのみもこがれつつ
98,従二位家隆,風そよぐ楢の小川の夕暮は,みそぎぞ夏のしるしなりける,かぜそよぐならのをがはのゆふぐれは,みそぎぞなつのしるしなりける
99,後鳥羽院,人もをし人もうらめしあじきなく,世を思ふゆゑにもの思ふ身は,ひともをしひともうらめしあぢきなく,よをおもふゆゑにものおもふみは
100,順徳院,百敷や古き軒端のしのぶにも,なほあまりある昔なりけり,ももしきやふるきのきばのしのぶにも,なほあまりあるむかしなりけり
